 auto1, xcor1, auto2, xcor2
        75        64        56        65
        59        59        69        54
        67        63        53        69
        59        56        49        75
        60        60        51        53
        73        62        74        74
        62        58        43        50
        51        61        50        70
        44        64        51        77
        53        47        67        50
        70        57        58        59
        61        61        67        55
        67        54        53        66
        67        69        48        60
        70        63        64        65
        56        53        65        64
        48        49        53        56
        66        67        69        70
        54        70        63        61
        58        67        62        52
        66        70        67        63
        59        59        66        60
        64        62        61        64
        47        69        55        55
        65        66        63        55
        69        59        63        60
        72        44        68        66
        59        64        61        64
        58        72        62        70
        60        53        59        66
        66        67        54        63
        71        64        50        59
        70        60        70        59
        67        71        67        60
        57        56        58        64
        53        59        44        76
        55        65        59        55
        69        69        45        53
        62        57        59        58
        57        59        57        71
        49        57        52        50
        64        64        61        71
        60        59        67        59
        60        52        54        64
        58        57        55        48
        73        56        56        57
        48        57        62        55
        59        70        50        82
        62        47        64        68
        60        61        65        68
        63        55        47        52
        57        75        60        50
        70        64        71        65
        70        59        51        68
        61        56        75        58
        56        51        57        77
        52        63        69        56
        73        58        46        65
        61        56        44        49
        71        72        62        72
        59        65        65        54
        65        55        59        71
        57        69        58        54
        71        53        58        64
        63        81        69        59
        56        57        53        80
        54        57        59        61
        57        55        52        69
        69        61        59        67
        62        67        53        75
        51        51        60        63
        47        65        60        54
        62        69        61        59
        57        55        45        72
        67        55        77        51
        59        66        55        67
        64        58        57        64
        70        68        55        65
        61        70        65        61
        69        52        47        74
        49        56        67        57
        57        57        44        61
        55        62        58        60
        62        66        60        57
        69        59        58        61
        65        63        64        65
        58        43        51        66
        54        57        66        59
        73        65        63        57
        55        58        52        51
        63        56        69        64
        54        61        60        58
        60        54        59        65
        63        58        47        57
        50        72        58        70
        72        46        60        61
        76        67        59        78
        69        56        55        55
        65        62        49        59
        65        59        63        57
        57        62        71        55
        70        69        52        57
        66        60        55        67
        61        70        67        56
        55        54        70        52
        75        50        50        69
        43        71        53        69
        65        63        61        60
        62        67        62        48
        66        63        55        62
        71        54        65        72
        59        54        62        55
        64        69        60        72
        57        62        66        50
        60        61        52        59
        76        67        72        63
        69        60        57        61
        46        58        58        60
        76        68        51        58
        64        58        56        66
        65        62        65        61
        56        48        56        43
        67        57        60        49
        72        59        61        79
        59        59        49        72
        76        58        61        64
        60        70        66        61
        61        60        67        48
        56        46        56        69
        49        62        49        65
        67        59        58        59
        57        67        54        59
        61        57        60        63
        66        59        57        59
        63        66        62        58
        60        63        60        72
        54        54        58        55
        62        75        58        57
        61        67        75        62
        61        67        72        69
        64        69        58        72
        63        70        64        53
        56        51        66        49
        69        59        46        60
        61        53        66        65
        68        74        56        57
        59        61        51        72
        61        52        72        63
        71        61        55        56
        63        62        72        58
        54        62        47        54
        54        66        54        62
        71        41        53        67
        60        61        62        54
        59        66        73        64
        55        63        57        66
        59        69        47        64
        62        53        60        55
        67        69        61        67
        63        65        58        65
        63        64        61        58
        78        52        56        65
        48        66        65        51
        65        72        73        65
        58        68        48        62
        56        46        60        75
        75        67        65        56
        52        71        58        64
        61        61        48        64
        62        57        63        63
        70        66        63        62
        54        64        64        65
        54        67        66        61
        54        56        70        60
        66        69        59        70
        78        60        58        69
        64        80        50        61
        53        75        84        61
        58        46        58        56
        67        73        59        63
        67        73        57        64
        50        68        52        58
        67        63        41        73
        55        55        73        70
        60        58        53        51
        66        74        44        70
        62        80        74        61
        71        61        56        80
        55        45        65        63
        63        63        53        65
        64        63        70        66
        61        65        59        58
        58        46        55        70
        66        67        65        63
        67        57        65        61
        61        65        64        54
        61        55        75        54
        71        45        62        58
        73        71        59        60
        57        68        53        61
        57        64        63        68
        62        47        67        56
        58        69        60        51
        70        70        67        68
        75        65        55        65
        59        59        65        75
        51        45        47        43
        63        67        64        63
        69        62        63        69
        74        57        59        67
        61        62        62        58
        57        64        69        53
        71        68        51        56
        78        63        61        80
        68        58        60        64
        59        56        59        68
        63        61        67        69
        66        50        52        65
        62        82        79        66
        52        62        57        59
        73        64        62        61
        61        62        60        56
        66        52        49        75
        68        52        62        70
        55        76        73        68
        68        64        59        67
        64        52        62        69
        63        60        44        67
        59        66        65        63
        61        57        59        54
        52        53        54        67
        72        83        65        76
        61        66        67        54
        76        58        70        59
        64        64        62        62
        53        67        53        63
        62        56        53        59
        60        57        70        57
        76        53        44        65
        48        72        70        54
        69        61        46        75
        59        60        61        63
        65        64        74        67
        66        64        68        56
        62        64        49        67
        68        69        61        63
        61        67        61        54
        58        55        66        63
        63        73        60        61
        65        53        67        50
        63        53        50        59
        85        71        45        61
        59        81        44        44
        60        39        57        62
        67        61        74        64
        63        67        53        60
        63        60        46        60
        71        58        72        67
        61        58        59        53
        62        72        66        68
        74        62        67        68
        66        64        50        62
        65        69        66        60
        66        66        53        53
        77        54        77        73
        59        61        51        62
        55        68        61        68
        73        69        52        61
        60        48        59        74
        66        70        69        71
        70        60        58        69
        62        75        73        72
        62        59        64        57
        66        55        59        59
        56        64        54        69
        54        62        61        57
        64        54        54        60
        65        66        65        49
        63        65        63        66
        67        60        62        53
        57        60        77        63
        62        66        48        56
        62        58        69        59
        64        74        55        61
        58        65        74        66
        61        49        59        68
